iter	Passed	Remaining
0	1	116
1	2	116
2	3	110
3	4	101
4	5	99
5	6	97
6	7	95
7	8	93
8	9	92
9	10	92
10	11	92
11	12	94
12	13	93
13	15	92
14	16	92
15	17	93
16	18	91
17	19	90
18	20	88
19	21	87
20	23	86
21	24	85
22	25	84
23	26	82
24	27	81
25	28	80
26	29	79
27	30	77
28	31	76
29	32	75
30	33	74
31	34	72
32	35	71
33	36	70
34	37	69
35	38	67
36	39	66
37	41	68
38	42	67
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	62	45
58	63	44
59	64	43
60	65	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	74	35
68	76	34
69	80	34
70	81	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	97	25
79	98	24
80	100	23
81	102	22
82	103	21
83	105	20
84	106	18
85	109	17
86	111	16
87	112	15
88	114	14
89	116	12
90	117	11
91	118	10
92	125	9
93	127	8
94	128	6
95	129	5
96	130	4
97	131	2
98	132	1
99	133	0
